job_key,employer_id,employer_name,first_seen_at,last_seen_at,company,title,city,province,workplace_type,likely_level,minimum_experience_years,maximum_experience_years,audit_evidence,application_url
successfactors:discovery:1420260433,discovery,Discovery,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Discovery,Data Scientist,Johannesburg,Gauteng,unspecified,likely_mid_level,3,,description: 3+ years,https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Data-Scientist-GP-2196/1420260433/
successfactors:discovery:1396411033,discovery,Discovery,2026-08-12 13:47:30.585452+00:00,2026-08-20 20:46:43.941771+00:00,Discovery,Developer,Johannesburg,Gauteng,unspecified,likely_mid_level,3,,description: minimum 5 years | description: Minimum 5 years | description: Minimum 3 years,https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Developer-GP-2196/1396411033/
successfactors:discovery:1284345001,discovery,Discovery,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Discovery,Java Developer,Johannesburg,Gauteng,unspecified,likely_mid_level,4,5,description: 4-5 years,https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Java-Developer-Gaut/1284345001/
successfactors:discovery:1426947133,discovery,Discovery,2026-08-18 04:52:58.094208+00:00,2026-08-20 20:46:43.941771+00:00,Discovery,Java Developer (Intermediate),Johannesburg,Gauteng,unspecified,likely_mid_level,3,,description: Minimum 3 years,https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Java-Developer-%28Intermediate%29-GP-2196/1426947133/
greenhouse:impact:8636461002,impact-com,impact.com,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Impact.com,Android Developer,Cape Town,Western Cape,unspecified,likely_mid_level,3,,description: 3+ years,https://job-boards.greenhouse.io/impact/jobs/8636461002
greenhouse:impact:8636502002,impact-com,impact.com,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Impact.com,Email & Marketing Automation Developer,Cape Town,Western Cape,unspecified,likely_mid_level,3,5,description: 3–5 years of experience,https://job-boards.greenhouse.io/impact/jobs/8636502002
greenhouse:impact:8545895002,impact-com,impact.com,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Impact.com,Site Reliability Engineer,Cape Town,Western Cape,unspecified,likely_mid_level,3,,description: 3+ years,https://job-boards.greenhouse.io/impact/jobs/8545895002
greenhouse:impact:8225665002,impact-com,impact.com,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Impact.com,Software engineer,Cape Town,Western Cape,hybrid,likely_mid_level,4,,description: 4 + years,https://job-boards.greenhouse.io/impact/jobs/8225665002
successfactors:nedbank:1366577033,nedbank,Nedbank,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Nedbank,Title: ACE Software Developer,Johannesburg,Gauteng,unspecified,likely_mid_level,3,,description: Min 3 years,https://jobs.nedbank.co.za/job/Johannesburg-ACE-Software-Developer/1366577033/
successfactors:nedbank:1415187633,nedbank,Nedbank,2026-08-08 19:57:22.760851+00:00,2026-08-10 21:02:12.544526+00:00,Nedbank,Title: Cloud Engineer: Database Services,Johannesburg,Gauteng,hybrid,likely_mid_level,3,10,description: 8-10 Years | description: 6+ Years | description: 3+ Years,https://jobs.nedbank.co.za/job/Johannesburg-Cloud-Engineer-Database-Services/1415187633/
successfactors:nedbank:1408566533,nedbank,Nedbank,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Nedbank,Title: Data Engineer,Johannesburg,Gauteng,unspecified,likely_mid_level,3,6,description: 3 - 6 years,https://jobs.nedbank.co.za/job/Johannesburg-Data-Engineer/1408566533/
successfactors:nedbank:1427460533,nedbank,Nedbank,2026-08-18 20:41:30.049594+00:00,2026-08-20 20:46:43.941771+00:00,Nedbank,Title: ML Engineer,Johannesburg,Gauteng,hybrid,likely_mid_level,3,7,description: 3-7 years,https://jobs.nedbank.co.za/job/Johannesburg-ML-Engineer/1427460533/
successfactors:nedbank:1408728033,nedbank,Nedbank,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Nedbank,Title: Software Developer,Johannesburg,Gauteng,unspecified,likely_mid_level,3,,description: Min 3 years,https://jobs.nedbank.co.za/job/Johannesburg-Software-Developer/1408728033/
successfactors:nedbank:1410424233,nedbank,Nedbank,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Nedbank,Title: Software Developer,Johannesburg,Gauteng,unspecified,likely_mid_level,3,,description: Min 3 years,https://jobs.nedbank.co.za/job/Johannesburg-Software-Developer/1410424233/
successfactors:nedbank:1423254233,nedbank,Nedbank,2026-08-08 19:57:22.760851+00:00,2026-08-12 21:03:08.242850+00:00,Nedbank,Title: Software Developer II,Johannesburg,Gauteng,unspecified,likely_mid_level,3,,title: Developer II | description: Min 3 years,https://jobs.nedbank.co.za/job/Johannesburg-Software-Developer-II/1423254233/
successfactors:nedbank:1428252033,nedbank,Nedbank,2026-08-20 13:11:28.462967+00:00,2026-08-20 20:46:43.941771+00:00,Nedbank,Title: Software Developer II,Johannesburg,Gauteng,unspecified,likely_mid_level,3,,title: Developer II | description: Minimum 3 years,https://jobs.nedbank.co.za/job/Johannesburg-Software-Developer-II/1428252033/
greenhouse:takealotgroup:7981943,takealot-group,Takealot Group,2026-08-08 19:57:22.760851+00:00,2026-08-11 05:29:32.185782+00:00,Takealot Group,BI Engineer: Takealot Group,Cape Town,Western Cape,hybrid,likely_mid_level,3,,description: minimum of 5 years | description: minimum of 8 years | description: Minimum 3 years,https://job-boards.greenhouse.io/takealotgroup/jobs/7981943
